Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1399203848,GTW2658,NY,PAS,06/30/2017,21,SUBN,TOYOT,S,63290,20520,20570,20180923,105,105,0,535068,QE13,0000,0836A,,Q,F,112-10,SPRINGFIELD BLVD,,0,408,D1,,BBBBYBB,0830A,1000A,GRAY,0,2014,-,0,,,,,
1399207957,HKE5826,NY,PAS,07/03/2017,21,SUBN,FORD,S,53890,25940,25935,20180830,103,103,0,601590,QE13,0000,0948A,,Q,F,201-01,LINDEN BOULEVARD,,0,408,K4,,YBBYBBB,0930A,1100A,SILVE,0,2005,-,0,,,,,
1399209498,HJZ4240,NY,PAS,07/05/2017,21,SDN,TOYOT,S,76330,88830,77030,20180717,0061,61,0,612572,MNLC,0000,0816A,,K,O,1730,SHEEPSHEAD BAY RD,,0,408,D1,,YYYYYYB,0800A,0830A,RED,0,2015,-,0,,,,,
1399210762,GZE4639,NY,PAS,07/11/2017,21,SDN,NISSA,S,44690,23010,22975,20170804,105,105,0,538120,QE13,0000,1120A,1120A,Q,,145-36,FARMERS BLVD,,0,408,D1,,BYBBBBB,1100A,1230P,BLACK,0,1996,-,0,,,,,
1399211274,HGL1917,NY,PAS,06/22/2017,21,SDN,BMW,S,17790,23290,23490,20180523,103,103,0,512735,QE13,0000,0910A,,Q,F,152-15,88TH AVE,,0,408,D1,,YBBYBBB,0830A,1000A,GREY,0,2013,-,0,,,,,
1399211298,HLP1244,NY,PAS,06/24/2017,21,SDN,HONDA,S,49990,25890,25940,20180909,103,103,0,512735,QE13,0000,0943A,,Q,F,200-24,HOLLIS AVENUE,,0,408,D1,,BBBBBYB,0930A,1100A,BLACK,0,2014,-,0,,,,,
1399211456,JTMBLWS2,NY,COM,06/23/2017,21,P-U,FORD,S,25090,23185,23200,20180818,105,105,0,627454,QE14,0000,0130A,,Q,F,149 23,182ND STREET,,0,408,K6,,BBBBYBB,1200A,0300A,BLACK,0,2011,-,0,,,,,
1399211663,HKV4885,NY,PAS,06/19/2017,21,SDN,FORD,S,51090,65830,26640,20170518,105,105,0,534917,QE13,0000,0737A,,Q,,214-71,JAMAICA AVENUE,,0,408,D1,,YYYYYYB,0730A,0800A,RED,0,2017,-,0,,,,,
1399211675,GKL8248,NY,PAS,06/22/2017,21,SDN,LEXUS,S,51090,26840,27950,20171104,105,105,0,534917,QE13,0000,0737A,,Q,F,218-17,JAMAICA AVE,,0,408,K5,,YYYYYYB,0730A,0800A,BLACK,0,2010,-,0,,,,,
1399211699,HHT7593,NY,PAS,07/18/2017,21,SDN,CHRYS,S,20940,40404,40404,20180612,110,110,0,534917,QE13,0000,0741A,,Q,F,151B,116 STREET,,0,408,D1,,YYYYYYB,0730A,0800A,BLK,0,2016,-,0,,,,,
1399211729,GYH8369,NY,PAS,07/18/2017,21,SUBN,HONDA,S,20940,40404,40404,20190511,101,101,0,534917,QE13,0000,0808A,,Q,O,181B,116 STREET,,0,408,D1,,YYYYYYB,0800A,0830A,WHT,0,2015,-,0,,,,,
1399211730,GCH3598,NY,PAS,07/18/2017,21,SUBN,CHEVR,S,20940,40404,40404,20191111,101,101,0,534917,QE13,0000,0813A,,,O,181B,116 STREET,,0,408,D1,,YYYYYYB,0800A,0830A,BLACK,0,2016,-,0,,,,,
1399211754,HGV5712,NY,PAS,07/18/2017,21,SUBN,SUBAR,S,60790,33390,33440,20180530,101,101,0,534917,QE13,0000,0836A,,Q,,9812,ROCKAWAY BEACH BLVD,,0,408,D1,,BYBBBBB,0800,0830,BLUE,0,2016,-,0,,,,,
1399211766,JVB7243,PA,PAS,07/18/2017,21,SDN,HYUND,S,60790,33140,33190,0,100,100,0,534917,QE13,0000,0838A,,Q,F,92-09,ROCKAWAY BEACH BLVD,,0,408,D1,,BYBBBBB,0830A,1000A,GRAY,0,0,-,0,,,,,
1399211780,HKM6594,NY,PAS,07/18/2017,21,SDN,HONDA,S,60790,32740,32840,20181024,101,101,0,534917,QE13,0000,0846A,,Q,O,84-10,ROCKAWAY BEACH BLVD,,0,408,D1,,BYBBBBB,0830A,1000A,BLUE,0,2006,-,0,,,,,
1399211808,HJLD92,FL,PAS,06/20/2017,21,SDN,ME/BE,S,49190,63290,26850,0,105,105,0,538120,QE13,0000,0839A,0831A,Q,F,218-91,HEMPSTEAD AVE,,0,408,D1,,YYYYYYB,0830A,0900A,BLACK,0,0,-,0,,,,,
1399211869,GCB8237,NY,PAS,06/20/2017,21,SDN,HONDA,S,57190,23050,23110,20190117,105,105,0,538120,QE13,0000,1115A,,Q,F,147-07,GUY BREWER BLVD,,0,408,D1,,BYBBBBB,1100A,1230P,BLACK,0,2003,-,0,,,,,
1399211900,LADASH,NY,PAS,07/11/2017,21,SDN,TOYOT,S,57190,23042,23050,20190123,105,105,0,538120,QE13,0000,1115A,1115A,Q,F,146-86,GUY R BREWER BLVD,,20170711,408,D1,,BYBBBBB,1100A,1230P,GREY,0,2005,-,0,,,,,
1399212047,HLK5857,NY,PAS,07/07/2017,21,SDN,NISSA,S,23030,60810,24390,20181012,105,105,0,601590,QE13,0000,0150A,,Q,O,165-25,146 AVE,,0,408,D1,,BBBBYBB,0000A,0300A,SILVE,0,2001,-,0,,,,,
1399212059,HFZ9237,NY,PAS,07/07/2017,21,SDN,NISSA,S,23050,35780,24840,20180518,105,105,0,601590,QE13,0000,0157A,,Q,O,167-39,147 AVE,,0,408,D1,,BBBBYBB,0000A,0300A,GREY,0,2014,-,0,,,,,
1399212060,HNC3716,NY,PAS,07/07/2017,21,SDN,TOYOT,S,44690,23050,35780,20190211,105,105,0,601590,QE13,0000,0203A,,Q,F,147-45,FARMERS BLVD,,0,408,D1,,BBBBYBB,0000A,0300A,BLUE,0,2017,-,0,,,,,
1399212072,KHP9704,PA,PAS,07/07/2017,21,SDN,HYUND,S,23185,60810,24940,0,105,105,0,601590,QE13,0000,0210A,,Q,F,175-15,149 RD,,0,408,D1,,BBBBYBB,0000A,0300,SILVE,0,0,-,0,,,,,
1399218633,HLK8807,NY,PAS,06/19/2017,21,SDN,CHEVR,S,19390,40404,40404,20190119,100,100,0,686295,QE13,0000,1155A,,,F,333 BEACH,101 STREET,,0,408,D1,,YBBBBBB,1130A,0100P,WHITE,0,2002,-,0,,,,,
1399218645,HGC8286,NY,PAS,06/19/2017,21,SDN,TOYOT,S,19390,40404,40404,20190131,100,100,0,686295,QE13,0000,1200P,,,F,333 BEACH,101 STREET,,0,408,D1,,YBBBBBB,1130A,0100P,GREY,0,1998,-,0,,,,,
1399218657,GED9336,NY,PAS,07/10/2017,21,SUBN,HONDA,S,51090,45890,26170,20190425,105,105,0,686295,QE13,0000,0742A,,,F,206-13,JAMAICA AVE,,0,408,D1,,YYYYYBB,0730A,0800A,WHITE,0,2007,-,0,,,,,
1399224992,HMJ7196,NY,PAS,07/01/2017,21,SDN,FORD,S,51090,26940,27040,20190403,105,105,0,669682,QE13,0000,0735A,,Q,F,222-07,JAMAICA AVE,,0,408,D1,,YYYYYYB,0730A,0800A,SILVE,0,2010,-,0,,,,,
1399225145,HLM5288,NY,PAS,07/17/2017,51,SDN,HYUND,S,14740,42785,27140,20180911,111,111,0,503280,QE14,0000,0655A,,Q,F,240-17,70 AVE,,0,408,D1,,BBBBBBB,ALL,ALL,GREY,0,2017,-,0,,,,,
1399225169,GWJ5884,NY,PAS,07/17/2017,46,SDN,HYUND,S,27140,14240,14490,20190501,111,111,0,505280,QE11,0000,0715A,,Q,O,68-15,242 ST,,0,408,F7,,BBBBBBB,ALL,ALL,BLUE,0,2010,-,0,,,,,
1399225297,GTA4611,NY,PAS,06/22/2017,74,SDN,NISSA,S,0,0,0,20180825,111,111,0,957849,QE11,0000,0730A,,Q,,,N/E/C HHE,230 ST,0,408,D1,,BBBBBBB,ALL,ALL,GREY,0,2002,-,0,,,,,
1399225832,HEA5551,NY,PAS,06/30/2017,21,SDN,SMART,S,51090,26540,65830,20180320,105,105,0,554320,QE11,0000,0735A,,Q,F,214-47,JAMAICA AVE,,0,408,D,,YYYYYBB,0730A,0800A,BLACK,0,2011,-,0,,,,,
1399225856,HPD1952,NY,PAS,06/30/2017,21,SUBN,GMC,S,51090,26540,65830,20190403,105,105,0,554320,QE11,0000,0741A,,Q,F,214-43,JAMAICA AVE,,0,408,D1,,YYYYYYB,0730A,0800A,WHITE,0,1999,-,0,,,,,
1399225868,HDD6557,NY,PAS,06/30/2017,21,SDN,NISSA,S,51090,50010,26440,20180306,105,105,0,554320,QE11,0000,0742A,,Q,F,211-53,JAMAICA AVE,,0,408,D1,,YYYYYYB,0730A,0800A,WHITE,0,2014,-,0,,,,,
1399225870,HBY5762,NY,PAS,06/30/2017,74,SDN,ME/BE,S,26590,18450,18540,20171215,105,105,0,554320,QE11,0000,0802A,,Q,F,92-56,215 PLACE,,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0,1997,-,0,,,,,
1399248856,HHJ6967,NY,PAS,06/23/2017,21,SDN,HONDA,S,47330,63030,54100,20180616,0083,83,0,687755,QE11,0000,0950A,,K,O,245,HARMAN STREET,,0,408,K6,,BYBBYBB,0900A,1030A,WHITE,0,2016,-,0,,,,,
1399254996,HDV5900,NY,PAS,06/20/2017,21,SDN,NISSA,S,14080,31330,59430,20180316,0069,69,0,697911,QE10,0000,0836A,,K,O,82-12,AVENUE J,,0,408,D1,,BYBBBBB,0830A,1000A,BLACK,0,2003,-,0,,,,,
1399255782,GVJ6500,NY,PAS,07/07/2017,21,SDN,SUBAR,S,29020,21940,35780,20190101,109,109,0,685688,QN07,0000,1245A,1230A,Q,F,131-48,AVERY AVE,,0,408,D1,,BBBBYBB,1200A,0300A,RED,0,2015,-,0,,,,,
1399288106,HHK1539,NY,PAS,06/20/2017,21,SUBN,ACURA,S,61090,59590,54580,20180522,109,109,0,501625,QE07,0000,0720A,,Q,F,135-25,ROOSEVELT AVENUE,,0,408,D1,,BBBBBBB,0700A,0700P,WH,0,2016,-,0,,,,,
1399288131,GTY2525,NY,PAS,06/22/2017,21,SUBN,HONDA,S,23190,57790,8990,20180912,109,109,0,501625,QE07,0000,1106A,,Q,O,37-31,149 ST,,0,408,J2,,BBBYBBB,1100A,1230P,WHITE,0,2014,-,0,,,,,
1399288155,GLB5028,NY,PAS,06/22/2017,21,SUBN,NISSA,S,23190,29290,61390,20171122,109,109,0,501625,QE07,0000,1110A,,Q,F,41-34,149 STREET,,0,408,D1,,BBBYBBB,1100A,1230P,GRAY,0,2012,-,0,,,,,
1399288180,KLH7351,PA,PAS,06/23/2017,21,SUBN,CHRYS,S,62630,38990,10140,0,109,109,0,501625,QE07,0000,0935A,,Q,F,43-0,SMART ST,,0,408,D1,,BBBBYBB,0900A,1030A,SILVE,0,0,-,0,,,,,
1399288210,HFE6955,NY,PAS,06/23/2017,21,SDN,HONDA,S,23190,29290,61390,20180512,109,109,0,501625,QE07,0000,1119A,,Q,F,41 45,149 STREET,,0,408,D1,,BBBBYBB,1100A,1230P,GRAY,0,2004,-,0,,,,,
1399292444,HNZ5212,NY,PAS,06/20/2017,21,SDN,HONDA,S,39595,8790,9140,20190312,109,109,0,637003,QE07,0000,0921A,,Q,,37-52,COLLEGE PT BLVD,,0,408,D1,,BBYBBBB,0900A,1030A,BLUE,0,2006,-,0,,,,,
1399308488,PT0434X,PA,PAS,06/28/2017,66,TRAI,WABA,S,51700,26000,19380,0,121,121,0,538053,SISP,0000,0738A,,R,O,261,TRANTOR PLACE,,0,408,C,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1399308490,PT0434X,PA,PAS,06/28/2017,66,TRAI,WABA,S,51700,26000,19380,0,121,121,0,538053,SISP,0000,0738A,,R,O,261,TRANTOR PLACE,,0,408,K4,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1399308518,PT0434X,PA,PAS,06/28/2017,80,TRAI,WABA,S,51700,26000,19380,0,121,121,0,538053,SISP,0000,0738A,,R,O,261,TRANTOR PLACE,,0,408,K4,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1399331620,JDX2418,TX,PAS,06/29/2017,21,VAN,HYUND,X,68720,60520,46820,0,0041,41,0,831917,0BIC,0000,0130A,,BX,F,627,TIFFANY ST,,0,408,D,,YBBYBBB,1200A,0300A,GRAY,0,0,-,0,,,,,
1399331723,R68290,FL,PAS,06/20/2017,21,DELV,INTER,X,34820,26340,78570,0,0041,41,0,831528,SESU,0000,1210A,,BX,F,770,GARRISON AVE,,0,408,D1,,BYBBYBB,1200A,0300A,WH,0,0,-,0,,,,,
1399331760,KKA4302,PA,PAS,07/11/2017,21,SUBN,DODGE,X,9180,5010,5130,0,0072,72,0,831528,SESU,0000,0111A,,K,F,174,52ND STREET,,0,408,D1,,BBBBBBB,1200A,0300A,BURNG,0,0,-,0,,,,,
1399332132,GXA5310,NY,PAS,06/23/2017,21,SDN,VOLKS,X,10920,54520,60520,20190319,0041,41,0,831207,OBIC,0000,1242A,,BX,F,546,BARRETTO ST,,0,408,D1,,BYBBYBB,1200A,0300A,RED,0,2013,-,0,,,,,
1399332168,GTS4076,NY,999,07/11/2017,21,SDN,LINCO,X,9180,5010,5130,0,0072,72,0,831207,OBIC,0000,0114A,,K,F,174,52 STREET,,0,408,D1,,BYBBYBB,1200A,0300A,WHITE,0,0,-,0,,,,,
1399332170,GTS4076,NY,999,07/11/2017,70,SDN,LINCO,X,9180,5010,5130,0,0072,72,0,831207,OBIC,0000,0118A,,K,F,174,52 STREET,,0,408,D1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1399332200,HNY3304,NY,PAS,07/14/2017,21,SDN,VOLKS,X,60520,18420,10920,20190321,0041,41,0,831207,OBIC,0000,1235A,,BX,O,1232,RANDALL AVE,,0,408,D1,,BYBBYBB,1200A,0300A,GREY,0,2001,-,0,,,,,
1399332211,JDX2418,TX,PAS,07/14/2017,21,,HYUND,X,68720,60520,46820,0,0041,41,0,831207,OBIC,0000,1242A,,BX,O,631,TIFFANY ST,,0,408,D1,,BYBBYBB,1200A,0300A,GREY,0,0,-,0,,,,,
1399332272,GWK3114,NY,PAS,07/06/2017,21,SDN,VOLVO,X,34820,26340,78570,20190604,0041,41,0,831917,ORIC,0000,1230A,,BX,O,770,GARRISON AVE,,0,408,C4,,YBBYBBB,1200A,0300A,GRAY,0,2009,-,0,,,,,
1399337490,KJB39D,NJ,PAS,07/08/2017,20,SUBN,TOYOT,K,13570,40404,40404,0,0025,25,1,160638,0001,0000,0915A,,NY,,,WARDS MEADOW LOOP,,0,408,D,,BBBBBBB,ALL,ALL,SILVE,0,0,-,0,,,,,
1399337520,L74HMX,NJ,PAS,07/08/2017,20,SUBN,JEEP,K,13570,40404,40404,0,0025,25,1,160638,0001,0000,0920A,,NY,,,WARDS MEADOW LOOP,,0,408,D,,BBBBBBB,ALL,ALL,TAN,0,0,-,0,,,,,
1399337543,HEY8679,NY,PAS,07/08/2017,40,SDN,INFIN,K,13535,40404,40404,20180224,0025,25,1,161461,0001,0000,1044A,,NY,F,,HELLS GATE CIRCLE,,0,408,E3,,BBBBBBB,ALL,ALL,GREY,0,2015,-,0,,,,,
1399337555,M61EYD,NJ,PAS,07/08/2017,27,SUBN,NISSA,K,13650,40404,40404,0,0025,25,1,161461,0001,0000,1051A,,NY,F,,SUNKEN MEADOW LOOP,,0,408,E2,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1399337580,G98GHZ,NJ,PAS,07/08/2017,68,SDN,AUDI,K,13535,97580,13113,0,0025,25,1,160638,0001,0000,1002A,,NY,O,13,HELLS GATE CIRCLE,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1399337592,GLM2047,NY,PAS,07/08/2017,68,SUBN,CHEVR,K,13535,97580,13113,20171208,0025,25,1,160638,0001,0000,0959A,,NY,O,13,HELLS GATE CIRCLE,,0,408,A1,,BBBBBBB,ALL,ALL,WHITE,0,2016,-,0,,,,,
1399337609,GZV1607,NY,PAS,07/08/2017,51,SUBN,TOYOT,K,11925,13113,16400,20180824,0025,25,1,160638,0001,0000,0933A,,NY,F,,RANDALLS ISLAND PARK,,0,408,A1,,BBBBBBB,ALL,ALL,BLUE,0,2005,-,0,,,,,
1399337671,GXC8235,NY,PAS,07/02/2017,27,SDN,HONDA,K,29370,13650,0,20190209,0025,25,1,160347,0001,0000,0533P,,NY,O,,RANDALLS ISLAND,SUNKEN MEADOW LOOP,0,408,D3,,BBBBBBB,ALL,ALL,SILVE,0,2010,-,0,,,,,
1399337683,GHH2059,NY,PAS,07/02/2017,50,SUBN,AUDI,K,13650,40404,40404,20170711,0025,25,1,160347,0001,0000,0252P,,NY,O,,SUNKEN MEADOW LOOP,,0,408,E1,,BBBBBBB,ALL,ALL,BLACK,0,2014,-,0,,,,,
1399337695,R54GGU,NJ,PAS,07/04/2017,14,SUBN,DODGE,P,29370,0,0,0,0025,25,1,160347,0001,0000,0711P,,NY,O,,RANDALLS ISLAND,EAST RIVER LN FLD 81,0,408,D,,BBBBBBB,ALL,ALL,BLA,0,0,-,0,,,,,
1399337749,SAYNAZ6,NY,OMT,07/04/2017,14,SUBN,TOYOT,P,29370,0,0,20170831,0025,25,1,160347,0001,0000,0709P,,NY,O,,RANDALLS ISLAND,EAST RIVER LN FLD 81,0,408,C,,BBBBBBB,ALL,ALL,BLAC,0,2013,-,0,,,,,
1399337762,HNY6807,NY,PAS,07/04/2017,14,SUBN,HONDA,P,29370,0,0,20190423,0025,25,1,160347,0001,0000,0720P,,NY,O,,RANDALLS ISLAND,EAST RIVER LN FLD 83,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0,2007,-,0,,,,,
1399337786,HKB2678,NY,PAS,07/04/2017,14,SUBN,MERCU,P,29370,0,0,20181005,0025,25,1,160347,0001,0000,0705P,,NY,O,,RANDALLS ISLAND,EAST RIVER LN FLD 81,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0,2005,-,0,,,,,
1399337798,GHF1689,NY,PAS,07/04/2017,14,SDN,LEXUS,P,29370,0,0,20190702,0025,25,1,160347,0001,0000,0704P,,NY,O,,RANDALLS ISLAND,EAST RIVER LN FLD 81,0,408,C,,BBBBBBB,ALL,ALL,TAN,0,1999,-,0,,,,,
1399337804,HCM5589,NY,PAS,07/04/2017,27,SUBN,HONDA,K,29370,0,0,20180218,0025,25,1,160347,0001,0000,0312P,,NY,O,,RANDALLS ISLAND,WADS MEADOW LOOP,0,408,A1,,BBBBBBB,ALL,ALL,SILVE,0,2007,-,0,,,,,
1399337816,HHN2979,NY,PAS,07/04/2017,20,SUBN,CHEVR,K,29370,0,0,20180530,0025,25,1,160347,0001,0000,0411P,,NY,O,,RANDALLS ISLAND,EAST RIVER LANE FIEL,0,408,D3,,BBBBBBB,ALL,ALL,WHITE,0,2003,-,0,,,,,
1399337830,GZH5782,NY,PAS,07/04/2017,68,SUBN,JEEP,K,29370,0,0,20170803,0025,25,1,160347,0001,0000,0117P,,NY,O,,RANDALLS ISLAND,EAST RIVER LANE FIEL,0,408,D,,BBBBBBB,ALL,ALL,BLUE,0,2006,-,0,,,,,
1399337841,GYB3053,NY,PAS,07/04/2017,68,SUBN,ME/BE,K,29370,0,0,20190525,0025,25,1,160347,0001,0000,0114P,,NY,O,,RANDALLS ISLAND,EAST RIVER LANE FIEL,0,408,A1,,BBBBBBB,ALL,ALL,BLACK,0,2011,-,0,,,,,
1399337853,HMP1158,NY,OMS,07/04/2017,68,SDN,HYUND,K,29370,0,0,20170930,0025,25,1,160347,0001,0000,0112P,,NY,O,,RANDALLS ISLAND,EAST RIVER LANE FIEL,0,408,A1,,BBBBBBB,ALL,ALL,WHITE,0,2017,-,0,,,,,
1399337865,GVH2020,NY,999,07/04/2017,20,SDN,NISSA,K,29370,0,0,20190227,0025,25,1,160178,0001,0000,0605P,,NY,,,RANDALLS ISLAND,BORDIN BLVD,0,408,A1,,BBBBBBB,ALL,ALL,BLU,0,2013,-,0,,,,,
1399337877,HKB1692,NY,PAS,07/04/2017,20,SUBN,CHEVR,K,29370,40404,40404,20181113,0025,25,1,160178,0001,0000,0640P,,NY,,,RANDALLS ISLAND LOT,,0,408,D5,,BBBBBBB,ALL,ALL,BRO,0,1997,-,0,,,,,
1399337889,HPJ3315,NY,PAS,07/04/2017,14,SDN,TOYOT,K,13570,40404,40404,20190301,0025,25,1,161461,0001,0000,0716P,,NY,F,,WARDS MEADOW LOOP,,0,408,E2,,BBBBBBB,ALL,ALL,BLACK,0,1998,-,0,,,,,
1399337890,HSE5699,NY,PAS,07/04/2017,14,P-U,FORD,K,29370,40404,40404,20190512,0025,25,1,160178,0001,0000,0723P,,NY,F,,RANDALLS ISLAND FIEL,,0,408,D,,BBBBBBB,ALL,ALL,BLK,0,2012,-,0,,,,,
1399337920,GKV4835,NY,PAS,07/08/2017,98,SDN,HONDA,K,13535,40404,40404,20171020,0025,25,1,160507,0001,0000,0230P,,NY,F,,HELLS GATE CIRCLE,,0,408,C,,BBBBBBB,ALL,ALL,GRAY,0,2004,-,0,,,,,
1399337956,JCV4840,PA,PAS,07/09/2017,51,SUBN,,K,29370,0,0,0,0025,25,1,160507,0001,0000,0725P,,NY,F,,RANDALLS ISLAND,WARDS MEADOW LOOP FI,0,408,E3,,BBBBBBB,ALL,ALL,BLACK,0,1999,-,0,,,,,
1399337981,HCE6042,NY,PAS,07/08/2017,19,SUBN,ME/BE,K,13535,416,97720,20170928,0025,25,1,160507,0001,0000,1045A,,NY,O,132,HELLS GATE CIRCLE,,0,408,C3,,BBBBBBB,ALL,ALL,WHITE,0,2015,-,0,,,,,
1399337993,HCE3051,NY,PAS,07/09/2017,9,SUBN,FORD,K,13535,29370,0,20170910,0025,25,7,160507,0007,0000,0747P,,NY,F,13,HELLGATE CIRCLE,RANDALLS ISLAND,0,408,E3,,BBBBBBB,ALL,ALL,WHITE,0,2014,-,0,,,,,
1399338006,M8SHDV,NJ,PAS,07/04/2017,14,SUBN,,K,29370,40404,40404,0,0025,25,1,160178,0001,0000,0735P,,NY,F,,RANDALLS ISLAND FIEL,,0,408,C,,BBBBBBB,ALL,ALL,GRN,0,0,-,0,,,,,
1399338018,T727458C,NY,OMT,07/04/2017,14,SDN,HYUND,P,29370,0,0,20180131,0025,25,1,161461,0001,0000,0724P,,NY,F,,RANDALLS ISLAND,WARD MEADOWS LP FLD,0,408,C,,BBBBBBB,ALL,ALL,GREE,0,2017,-,0,,,,,
1399338020,GRF1755,NY,PAS,07/04/2017,14,SUBN,FORD,P,29370,13570,0,20180608,0025,25,1,161461,0001,0000,0726P,,NY,F,,RANDALLS ISLAND,WARDS MEADOW LOOP,0,408,C,,BBBBBBB,ALL,ALL,BLAC,0,2017,-,0,,,,,
1399338031,HNY1638,NY,PAS,07/04/2017,20,SUBN,FORD,P,29370,13570,0,20190222,0025,25,1,161461,0001,0000,0732P,,NY,F,,RANDALLS ISLAND,WARDS MEADOW LOOP,0,408,C,,BBBBBBB,ALL,ALL,BLUE,0,2001,-,0,,,,,
1399338043,GPL3425,NY,PAS,07/04/2017,53,SUBN,DODGE,P,29370,0,0,20180515,0025,25,1,161461,0001,0000,0815P,,NY,,,RANDALLS ISLAND,PARKING LOT J,0,408,D,,BBBBBBB,ALL,ALL,GREY,0,2005,-,0,,,,,
1399338055,HEK9383,NY,PAS,07/04/2017,27,SUBN,HONDA,K,29370,40404,40404,20180621,0025,25,1,160178,0001,0000,0645P,,NY,,,RANDALLS ISLAND LOT,,0,408,D,,BBBBBBB,ALL,ALL,SILVE,0,2007,-,0,,,,,
1399338092,GXP3789,NY,PAS,07/08/2017,14,CONV,PORSC,K,13565,40404,40404,20190611,0025,25,1,161461,0001,0000,0944A,,NY,F,,EAST RIVER LANE,,0,408,C3,,BBBBBBB,ALL,ALL,BLACK,0,2015,-,0,,,,,
